Store,Location,State,RTWState,FileDate,VoteCountDate,FileToCountDays,VotesYes,VotesNo,VoteTotal,EligibleVoters,Turnout,Margin,YesPercent,Result
Elmwood,"Buffalo, NY",NY,No,8/30/2021,12/9/2021,101,19,8,27,36,0.7500,0.4074,0.7037,Yes
Genessee St,"Buffalo, NY",NY,No,8/30/2021,12/9/2021,101,15,9,24,46,0.5217,0.2500,0.6250,Yes
Camp Road Hamburg,"Buffalo, NY",NY,No,8/30/2021,12/9/2021,101,8,12,20,30,0.6667,-0.2000,0.4000,No
Power & Baseline Road,"Mesa, AZ",AZ,Yes,11/18/2021,2/25/2022,99,25,3,28,43,0.6512,0.7857,0.8929,Yes
Sheridan & Bailey,"Buffalo, NY",NY,No,11/9/2021,3/9/2022,120,15,12,27,44,0.6136,0.1111,0.5556,Yes
Transit Commons / Depew,"Buffalo, NY",NY,No,11/9/2021,3/9/2022,120,15,12,27,37,0.7297,0.1111,0.5556,Yes
Broadway & Denny,"Seattle, WA",WA,No,12/20/2021,3/22/2022,92,9,0,9,13,0.6923,1.0000,1.0000,Yes
Crismon & Southern,"Mesa, AZ",AZ,Yes,1/18/2022,3/25/2022,66,11,3,14,28,0.5000,0.5714,0.7857,Yes
I-75 at Merchant Drive,"Knoxville, TN",TN,Yes,12/27/2021,3/29/2022,92,8,7,15,27,0.5556,0.0667,0.5333,Yes
New York Reserve Roastery,"New York, NY",NY,No,2/9/2022,4/1/2022,51,46,36,82,86,0.9535,0.1220,0.5610,Yes
Delaware & Chippewa,"Buffalo, NY",NY,No,1/31/2022,4/7/2022,66,18,1,19,27,0.7037,0.8947,0.9474,Yes
Mount Hope Ave,"Rochester, NY",NY,No,1/31/2022,4/7/2022,66,13,11,24,41,0.5854,0.0833,0.5417,Yes
Brighton Monroe & Clover,"Rochester, NY",NY,No,1/31/2022,4/7/2022,66,10,3,13,30,0.4333,0.5385,0.7692,Yes
College Ave,"Ithaca, NY",NY,No,1/31/2022,4/8/2022,67,19,1,20,27,0.7407,0.9000,0.9500,Yes
Commons,"Ithaca, NY",NY,No,1/31/2022,4/8/2022,67,15,1,16,25,0.6400,0.8750,0.9375,Yes
Meadow St,"Ithaca, NY",NY,No,1/31/2022,4/8/2022,67,13,1,14,27,0.5185,0.8571,0.9286,Yes
Overland Park - 75th & I-35,"Overland Park, KS",KS,Yes,1/31/2022,4/8/2022,67,6,1,7,20,0.3500,0.7143,0.8571,Yes
Harvard St,"Boston, MA",MA,No,12/13/2021,4/11/2022,119,14,0,14,21,0.6667,1.0000,1.0000,Yes
Commonwealth Ave,"Boston, MA",MA,No,1/13/2022,4/11/2022,88,11,0,11,29,0.3793,1.0000,1.0000,Yes
"Bloomfield, Liberty Ave","Pittsburgh, PA",PA,No,1/7/2022,4/13/2022,96,20,0,20,22,0.9091,1.0000,1.0000,Yes
29th & Willamette,"Eugene, OR",OR,No,2/11/2022,4/13/2022,61,17,0,17,28,0.6071,1.0000,1.0000,Yes
Huntsman Square,"Springfield, VA",VA,Yes,2/22/2022,4/14/2022,51,8,10,18,22,0.8182,-0.1111,0.4444,No
Midlothian & Carmia Way,"Richmond, VA",VA,Yes,1/19/2022,4/19/2022,90,22,3,25,29,0.8621,0.7600,0.8800,Yes
Broad and Willow Lawn,"Richmond, VA",VA,Yes,2/22/2022,4/19/2022,56,19,0,19,28,0.6786,1.0000,1.0000,Yes
Forest Hill Ave,"Richmond, VA",VA,Yes,1/19/2022,4/19/2022,90,17,1,18,23,0.7826,0.8889,0.9444,Yes
Westchester Commons,"Midlothian, VA",VA,Yes,2/14/2022,4/19/2022,64,13,8,21,31,0.6774,0.2381,0.6190,Yes
Huguenot Village Shopping Center,"Richmond, VA",VA,Yes,2/14/2022,4/19/2022,64,11,2,13,28,0.4643,0.6923,0.8462,Yes
Palm Springs Mile,"Hialeah, FL",FL,Yes,3/9/2022,4/20/2022,42,12,14,26,37,0.7027,-0.0769,0.4615,No
Starbucks Reserve Roastery,"Seattle, WA",WA,No,2/14/2022,4/21/2022,66,38,27,65,104,0.6250,0.1692,0.5846,Yes
Gallows and Gatehouse,"Falls Church, VA",VA,Yes,3/8/2022,4/22/2022,45,30,2,32,36,0.8889,0.8750,0.9375,Yes
8th Ave & 49th St,"Miami, FL",FL,Yes,2/14/2022,4/22/2022,67,13,14,27,37,0.7297,-0.0370,0.4815,No
Rock Creek Parkway,"Superior, CO",CO,No,12/30/2021,4/22/2022,113,12,2,14,30,0.4667,0.7143,0.8571,Yes
Leesburg Plaza,"Leesburg, VA",VA,Yes,3/8/2022,4/23/2022,46,24,1,25,30,0.8333,0.9200,0.9600,Yes
Hopewell,"Pennington, NJ",NJ,No,1/11/2022,4/25/2022,104,15,0,15,26,0.5769,1.0000,1.0000,Yes
N Charles St,"Baltimore, MD",MD,No,1/20/2022,4/25/2022,95,14,0,14,22,0.6364,1.0000,1.0000,Yes
Northwest Hwy & Feinberg Drive,"Cary, IL",IL,No,2/14/2022,4/26/2022,71,17,4,21,27,0.7778,0.6190,0.8095,Yes
University & Main,"Peoria, IL",IL,No,2/14/2022,4/26/2022,71,9,2,11,18,0.6111,0.6364,0.8182,Yes
Howell & Puetz,"Oak Creek, WI",WI,Yes,2/14/2022,4/27/2022,72,15,8,23,31,0.7419,0.3043,0.6522,Yes
300 Snelling,"St. Paul, MN",MN,No,2/14/2022,4/27/2022,72,14,1,15,20,0.7500,0.8667,0.9333,Yes
Augusta Exchange,"Augusta, GA",GA,Yes,3/14/2022,4/28/2022,45,26,5,31,38,0.8158,0.6774,0.8387,Yes
U of O Erb Memorial Student Union,"Eugene, OR",OR,No,2/6/2022,4/28/2022,81,19,0,19,28,0.6786,1.0000,1.0000,Yes
Franklin & Villard,"Eugene, OR",OR,No,1/31/2022,4/28/2022,87,17,0,17,27,0.6296,1.0000,1.0000,Yes
7th & Washington,"Eugene, OR",OR,No,1/31/2022,4/28/2022,87,12,1,13,19,0.6842,0.8462,0.9231,Yes
Delta & Green Acres,"Eugene, OR",OR,No,2/6/2022,4/28/2022,81,10,1,11,25,0.4400,0.8182,0.9091,Yes
Oakway Mall,"Eugene, OR",OR,No,1/31/2022,4/28/2022,87,4,7,11,17,0.6471,-0.2727,0.3636,No
